death_year,state_abbr,state_name,total_pop_15to64,female_pop_15to64,male_pop_15to64,aapi_pct,black_pct,latinx_pct,native_pct,white_pct,total_incarceration,total_incarceration_rate,total_prison_pop,female_prison_pop,male_prison_pop
2016,US,NATIONAL TOTAL,213922694,106567257,107355437,6.5,13.31,17.89,0.84,61.45,2139864,1000,1495145,110219,1384926
2015,US,NATIONAL TOTAL,212884736,106200963,106683773,6.34,13.25,17.56,0.85,62.0,2155054,1012,1512802,109735,1403067
2019,UT,UTAH,2095368,1024739,1070629,4.34,1.53,14.45,1.08,78.59,12508,596,6671,582,6089
2018,UT,UTAH,2056168,1006813,1049355,4.29,1.48,14.26,1.09,78.89,13014,632,6651,575,6076
2017,UT,UTAH,2015112,988421,1026691,4.2,1.44,14.0,1.09,79.27,12518,621,6219,493,5726
2016,UT,UTAH,1970281,967948,1002333,4.08,1.37,13.71,1.1,79.74,11694,593,6175,406,5769
2015,UT,UTAH,1925935,947432,978503,3.95,1.31,13.44,1.11,80.18,12181,632,6495,515,5980
2019,VA,VIRGINIA,5692468,2834070,2858398,7.93,20.44,10.1,0.31,61.22,57325,1007,36091,3001,33090
2018,VA,VIRGINIA,5682908,2833556,2849352,7.76,20.41,9.85,0.31,61.67,58210,1024,36660,3040,33620
2017,VA,VIRGINIA,5680032,2834570,2845462,7.62,20.36,9.6,0.32,62.11,59099,1040,37158,3154,34004
2016,VA,VIRGINIA,5663730,2830077,2833653,7.42,20.3,9.32,0.31,62.64,58734,1037,37813,3109,34704
2015,VA,VIRGINIA,5651126,2827191,2823935,7.22,20.25,9.07,0.31,63.15,58662,1038,38403,3236,35167
2019,VT,VERMONT,419480,207983,211497,2.4,1.77,2.26,0.44,93.13,1608,383,1137,85,1052
2018,VT,VERMONT,421283,209325,211958,2.36,1.68,2.16,0.45,93.35,1659,393,1173,96,1077
2017,VT,VERMONT,423083,210546,212537,2.32,1.63,2.07,0.45,93.53,1546,365,1126,105,1021
2016,VT,VERMONT,424381,211325,213056,2.14,1.56,1.98,0.45,93.87,1735,408,1229,83,1146
2015,VT,VERMONT,426859,212923,213936,2.04,1.49,1.9,0.45,94.13,1750,409,1290,83,1207
2019,WA,WASHINGTON,5056791,2463920,2592871,11.81,5.11,12.95,1.53,68.6,31119,615,19261,1635,17626
2018,WA,WASHINGTON,5012299,2448013,2564286,11.48,5.0,12.58,1.54,69.4,31805,634,19523,1720,17803
2017,WA,WASHINGTON,4961407,2427619,2533788,11.09,4.88,12.29,1.55,70.19,31870,642,19656,1742,17914
2016,WA,WASHINGTON,4889763,2397031,2492732,10.7,4.76,11.99,1.56,70.98,30955,633,19104,1658,17446
2015,WA,WASHINGTON,4814478,2365993,2448485,10.37,4.66,11.68,1.58,71.72,29946,621,18284,1455,16829
2019,WI,WISCONSIN,3818201,1873622,1944579,3.47,6.9,7.03,1.02,81.59,36657,960,23956,1551,22405
2018,WI,WISCONSIN,3821974,1878089,1943885,3.37,6.85,6.83,1.01,81.93,37344,977,24064,1591,22473
2017,WI,WISCONSIN,3823716,1881623,1942093,3.32,6.81,6.58,1.01,82.28,36907,965,23945,1620,22325
2016,WI,WISCONSIN,3825915,1884551,1941364,3.21,6.76,6.38,1.0,82.66,36171,945,23377,1488,21889
2015,WI,WISCONSIN,3828880,1888321,1940559,3.08,6.71,6.18,0.99,83.04,35591,929,22975,1408,21567
2019,WV,WEST VIRGINIA,1141168,560558,580610,1.06,4.26,1.86,0.23,92.58,11086,971,6800,821,5979
2018,WV,WEST VIRGINIA,1153567,567731,585836,1.04,4.22,1.75,0.23,92.76,10927,947,6775,786,5989
2017,WV,WEST VIRGINIA,1169062,576176,592886,1.05,4.19,1.68,0.23,92.85,10613,907,7092,818,6274
2016,WV,WEST VIRGINIA,1185407,585476,599931,1.05,4.15,1.62,0.23,92.94,10346,872,7162,876,6286
2015,WV,WEST VIRGINIA,1199851,593691,606160,1.02,4.12,1.56,0.23,93.08,10210,850,7118,865,6253
2019,WY,WYOMING,367331,176380,190951,1.4,1.5,10.15,2.28,84.66,3855,1049,2479,337,2142
2018,WY,WYOMING,368946,177299,191647,1.42,1.5,9.97,2.27,84.84,4126,1118,2543,336,2207
2017,WY,WYOMING,372382,178873,193509,1.35,1.49,9.78,2.24,85.14,4025,1080,2473,292,2181
2016,WY,WYOMING,378747,181832,196915,1.26,1.49,9.66,2.23,85.37,3958,1045,2374,286,2088
2015,WY,WYOMING,382734,183698,199036,1.21,1.5,9.47,2.22,85.6,3970,1037,2424,267,2157
