death_year,state_abbr,state_name,total_pop_15to64,female_pop_15to64,male_pop_15to64,aapi_pct,black_pct,latinx_pct,native_pct,white_pct,total_incarceration,total_incarceration_rate,total_prison_pop,female_prison_pop,male_prison_pop
2019,MI,MICHIGAN,6556511,3249147,3307364,4.0,14.81,5.36,0.74,75.1,54285,827,38053,2029,36024
2018,MI,MICHIGAN,6584943,3268498,3316445,3.94,14.77,5.17,0.73,75.39,55344,840,38761,2081,36680
2017,MI,MICHIGAN,6601407,3282020,3319387,3.83,14.76,5.01,0.73,75.67,56256,852,39666,2151,37515
2016,MI,MICHIGAN,6607562,3290782,3316780,3.68,14.76,4.86,0.73,75.98,57696,873,41122,2242,38880
2015,MI,MICHIGAN,6610574,3298872,3311702,3.5,14.76,4.7,0.73,76.31,58327,882,42628,2273,40355
2019,MN,MINNESOTA,3685041,1804791,1880250,5.87,7.45,5.62,1.19,79.86,16062,435,9982,665,9317
2018,MN,MINNESOTA,3676284,1803017,1873267,5.73,7.16,5.47,1.19,80.45,16474,448,10101,699,9402
2017,MN,MINNESOTA,3664036,1799920,1864116,5.59,6.89,5.29,1.19,81.04,16871,460,10708,734,9974
2016,MN,MINNESOTA,3650408,1795774,1854634,5.44,6.61,5.13,1.19,81.63,16723,458,10592,774,9818
2015,MN,MINNESOTA,3636880,1791951,1844929,5.25,6.34,4.98,1.2,82.23,16733,460,10798,771,10027
2019,MO,MISSOURI,3964191,1972659,1991532,2.77,12.6,4.42,0.58,79.64,38403,968,26044,2401,23643
2018,MO,MISSOURI,3972102,1977961,1994141,2.68,12.58,4.28,0.58,79.89,43085,1084,30369,3114,27255
2017,MO,MISSOURI,3977824,1983319,1994505,2.6,12.55,4.14,0.57,80.14,45448,1142,32601,3396,29205
2016,MO,MISSOURI,3979372,1986615,1992757,2.51,12.51,4.01,0.57,80.4,44892,1128,32461,3337,29124
2015,MO,MISSOURI,3982488,1991332,1991156,2.45,12.46,3.89,0.57,80.63,44049,1106,32330,3267,29063
2019,MS,MISSISSIPPI,1914029,969985,944044,1.32,39.13,3.31,0.54,55.7,27649,1444,19417,1383,18034
2018,MS,MISSISSIPPI,1925425,976342,949083,1.3,39.12,3.25,0.53,55.81,25930,1346,19275,1389,17886
2017,MS,MISSISSIPPI,1940031,984822,955209,1.27,39.03,3.16,0.52,56.02,26700,1376,19103,1415,17688
2016,MS,MISSISSIPPI,1946443,989523,956920,1.25,38.92,3.06,0.51,56.26,26264,1349,19192,1369,17823
2015,MS,MISSISSIPPI,1952216,993339,958877,1.25,38.77,3.01,0.51,56.46,26044,1334,18911,1316,17595
2019,MT,MONTANA,680726,331453,349273,1.31,0.9,4.1,6.51,87.19,7572,1112,4723,548,4175
2018,MT,MONTANA,678779,331128,347651,1.25,0.87,3.97,6.5,87.42,6874,1012,3765,447,3318
2017,MT,MONTANA,677347,330733,346614,1.22,0.85,3.85,6.49,87.6,6399,944,3698,416,3282
2016,MT,MONTANA,673445,328907,344538,1.18,0.82,3.67,6.45,87.88,6364,945,3814,409,3405
2015,MT,MONTANA,670303,327742,342561,1.12,0.79,3.54,6.43,88.14,6296,939,3685,390,3295
2019,NC,NORTH CAROLINA,6795892,3415934,3379958,3.68,22.72,9.6,1.15,62.84,53344,784,34079,2681,31398
2018,NC,NORTH CAROLINA,6753413,3399835,3353578,3.56,22.74,9.34,1.16,63.19,53572,793,34899,2728,32171
2017,NC,NORTH CAROLINA,6707316,3379699,3327617,3.46,22.74,9.05,1.18,63.57,56001,834,36394,2841,33553
2016,NC,NORTH CAROLINA,6662471,3360211,3302260,3.32,22.72,8.8,1.19,63.97,54540,818,35697,2712,32985
2015,NC,NORTH CAROLINA,6600275,3332503,3267772,3.17,22.71,8.59,1.2,64.33,55110,834,36617,2689,33928
2019,ND,NORTH DAKOTA,500204,236154,264050,2.18,3.85,4.12,5.06,84.8,3196,638,1794,209,1585
2018,ND,NORTH DAKOTA,500267,236346,263921,2.17,3.74,3.88,5.02,85.19,3160,631,1695,196,1499
2017,ND,NORTH DAKOTA,500906,236432,264474,2.14,3.53,3.66,5.01,85.66,3241,647,1723,199,1524
2016,ND,NORTH DAKOTA,503677,237108,266569,1.9,3.32,3.51,5.01,86.26,3217,638,1791,213,1578
2015,ND,NORTH DAKOTA,506271,238111,268160,1.79,2.93,3.35,4.99,86.94,3202,632,1795,208,1587
2019,NE,NEBRASKA,1244161,607057,637104,3.21,5.65,11.32,0.91,78.92,9786,786,5682,428,5254
2018,NE,NEBRASKA,1242799,607540,635259,3.16,5.55,10.99,0.91,79.4,9270,745,5491,430,5061
2017,NE,NEBRASKA,1239742,606662,633080,3.05,5.44,10.66,0.9,79.96,9027,728,5313,429,4884
2016,NE,NEBRASKA,1236192,605926,630266,2.93,5.37,10.27,0.9,80.54,8911,720,5302,424,4878
2015,NE,NEBRASKA,1230019,604016,626003,2.75,5.26,9.95,0.89,81.16,8730,709,5372,429,4943
2019,NH,NEW HAMPSHIRE,911704,449816,461888,3.49,1.9,4.2,0.29,90.11,4141,454,2691,228,2463
2018,NH,NEW HAMPSHIRE,911775,450074,461701,3.42,1.81,4.0,0.3,90.48,4312,472,2722,231,2491
2017,NH,NEW HAMPSHIRE,912398,451365,461033,3.36,1.72,3.79,0.3,90.83,4516,494,2750,226,2524
2016,NH,NEW HAMPSHIRE,911214,451389,459825,3.31,1.63,3.58,0.3,91.18,4642,509,2818,227,2591
2015,NH,NEW HAMPSHIRE,909978,451321,458657,3.19,1.54,3.4,0.3,91.57,4681,514,2897,236,2661
