state_name,death_year,age_range,death_count,state_abbr,total_pop_15to64,female_pop_15to64,male_pop_15to64,aapi_pct,black_pct,latinx_pct,native_pct,white_pct,total_incarceration,total_incarceration_rate,total_prison_pop,female_prison_pop,male_prison_pop
ALASKA,2016,61-70,0,AK,509054,237107,271947,8.25,4.29,6.77,15.23,65.46,4434,871,2089,107,1982
ALASKA,2016,≥ 71,2,AK,509054,237107,271947,8.25,4.29,6.77,15.23,65.46,4434,871,2089,107,1982
ALASKA,2017,≤ 20,0,AK,504320,235002,269318,8.61,4.37,6.99,15.36,64.68,4399,872,1905,77,1828
ALASKA,2017,21-30,1,AK,504320,235002,269318,8.61,4.37,6.99,15.36,64.68,4399,872,1905,77,1828
ALASKA,2017,31-40,3,AK,504320,235002,269318,8.61,4.37,6.99,15.36,64.68,4399,872,1905,77,1828
ALASKA,2017,41-50,1,AK,504320,235002,269318,8.61,4.37,6.99,15.36,64.68,4399,872,1905,77,1828
ALASKA,2017,51-60,0,AK,504320,235002,269318,8.61,4.37,6.99,15.36,64.68,4399,872,1905,77,1828
ALASKA,2017,61-70,1,AK,504320,235002,269318,8.61,4.37,6.99,15.36,64.68,4399,872,1905,77,1828
ALASKA,2017,≥ 71,3,AK,504320,235002,269318,8.61,4.37,6.99,15.36,64.68,4399,872,1905,77,1828
ALASKA,2018,≤ 20,0,AK,497876,231938,265938,8.73,4.4,7.13,15.56,64.18,4380,879,1939,87,1852
ALASKA,2018,21-30,3,AK,497876,231938,265938,8.73,4.4,7.13,15.56,64.18,4380,879,1939,87,1852
ALASKA,2018,31-40,3,AK,497876,231938,265938,8.73,4.4,7.13,15.56,64.18,4380,879,1939,87,1852
ALASKA,2018,41-50,1,AK,497876,231938,265938,8.73,4.4,7.13,15.56,64.18,4380,879,1939,87,1852
ALASKA,2018,51-60,2,AK,497876,231938,265938,8.73,4.4,7.13,15.56,64.18,4380,879,1939,87,1852
ALASKA,2018,61-70,0,AK,497876,231938,265938,8.73,4.4,7.13,15.56,64.18,4380,879,1939,87,1852
ALASKA,2018,≥ 71,2,AK,497876,231938,265938,8.73,4.4,7.13,15.56,64.18,4380,879,1939,87,1852
ALASKA,2019,≤ 20,0,AK,493016,229285,263731,8.89,4.42,7.26,15.71,63.72,4475,907,1782,82,1700
ALASKA,2019,21-30,1,AK,493016,229285,263731,8.89,4.42,7.26,15.71,63.72,4475,907,1782,82,1700
ALASKA,2019,31-40,0,AK,493016,229285,263731,8.89,4.42,7.26,15.71,63.72,4475,907,1782,82,1700
ALASKA,2019,41-50,0,AK,493016,229285,263731,8.89,4.42,7.26,15.71,63.72,4475,907,1782,82,1700
ALASKA,2019,51-60,1,AK,493016,229285,263731,8.89,4.42,7.26,15.71,63.72,4475,907,1782,82,1700
ALASKA,2019,61-70,1,AK,493016,229285,263731,8.89,4.42,7.26,15.71,63.72,4475,907,1782,82,1700
ALASKA,2019,≥ 71,0,AK,493016,229285,263731,8.89,4.42,7.26,15.71,63.72,4475,907,1782,82,1700
ARIZONA,2015,≤ 20,0,AZ,4308901,2131532,2177369,4.11,4.93,31.57,4.32,55.07,56044,1300,42719,3981,38738
ARIZONA,2015,21-30,0,AZ,4308901,2131532,2177369,4.11,4.93,31.57,4.32,55.07,56044,1300,42719,3981,38738
ARIZONA,2015,31-40,4,AZ,4308901,2131532,2177369,4.11,4.93,31.57,4.32,55.07,56044,1300,42719,3981,38738
ARIZONA,2015,41-50,6,AZ,4308901,2131532,2177369,4.11,4.93,31.57,4.32,55.07,56044,1300,42719,3981,38738
ARIZONA,2015,51-60,7,AZ,4308901,2131532,2177369,4.11,4.93,31.57,4.32,55.07,56044,1300,42719,3981,38738
ARIZONA,2015,61-70,6,AZ,4308901,2131532,2177369,4.11,4.93,31.57,4.32,55.07,56044,1300,42719,3981,38738
ARIZONA,2015,≥ 71,3,AZ,4308901,2131532,2177369,4.11,4.93,31.57,4.32,55.07,56044,1300,42719,3981,38738
ARIZONA,2016,≤ 20,1,AZ,4356330,2151745,2204585,4.25,5.06,31.99,4.31,54.4,55474,1273,42320,3997,38323
