state_name,death_year,age_range,death_count
CALIFORNIA,2019,21-30,17
CALIFORNIA,2019,31-40,56
CALIFORNIA,2019,41-50,52
CALIFORNIA,2019,51-60,86
CALIFORNIA,2019,61-70,102
CALIFORNIA,2019,≥ 71,85
COLORADO,2015,≤ 20,0
COLORADO,2015,21-30,0
COLORADO,2015,31-40,1
COLORADO,2015,41-50,3
COLORADO,2015,51-60,7
COLORADO,2015,61-70,4
COLORADO,2015,≥ 71,4
COLORADO,2016,≤ 20,0
COLORADO,2016,21-30,2
COLORADO,2016,31-40,6
COLORADO,2016,41-50,7
COLORADO,2016,51-60,18
COLORADO,2016,61-70,15
COLORADO,2016,≥ 71,9
COLORADO,2017,≤ 20,0
COLORADO,2017,21-30,3
COLORADO,2017,31-40,5
COLORADO,2017,41-50,4
COLORADO,2017,51-60,8
COLORADO,2017,61-70,9
COLORADO,2017,≥ 71,12
COLORADO,2018,≤ 20,1
COLORADO,2018,21-30,5
COLORADO,2018,31-40,4
COLORADO,2018,41-50,6
COLORADO,2018,51-60,12
COLORADO,2018,61-70,14
COLORADO,2018,≥ 71,13
COLORADO,2019,≤ 20,1
COLORADO,2019,21-30,0
COLORADO,2019,31-40,3
COLORADO,2019,41-50,4
COLORADO,2019,51-60,13
COLORADO,2019,61-70,17
COLORADO,2019,≥ 71,11
CONNECTICUT,2015,≤ 20,0
CONNECTICUT,2015,21-30,0
CONNECTICUT,2015,31-40,0
CONNECTICUT,2015,41-50,1
CONNECTICUT,2015,51-60,2
CONNECTICUT,2015,61-70,0
CONNECTICUT,2015,≥ 71,1
CONNECTICUT,2016,≤ 20,0
CONNECTICUT,2016,21-30,2
CONNECTICUT,2016,31-40,3
CONNECTICUT,2016,41-50,2
CONNECTICUT,2016,51-60,3
CONNECTICUT,2016,61-70,4
CONNECTICUT,2016,≥ 71,3
CONNECTICUT,2017,≤ 20,0
CONNECTICUT,2017,21-30,1
CONNECTICUT,2017,31-40,2
CONNECTICUT,2017,41-50,3
CONNECTICUT,2017,51-60,3
CONNECTICUT,2017,61-70,2
CONNECTICUT,2017,≥ 71,3
CONNECTICUT,2018,≤ 20,0
CONNECTICUT,2018,21-30,1
CONNECTICUT,2018,31-40,2
CONNECTICUT,2018,41-50,3
CONNECTICUT,2018,51-60,12
CONNECTICUT,2018,61-70,7
CONNECTICUT,2018,≥ 71,3
CONNECTICUT,2019,≤ 20,0
CONNECTICUT,2019,21-30,0
CONNECTICUT,2019,31-40,6
CONNECTICUT,2019,41-50,4
CONNECTICUT,2019,51-60,3
CONNECTICUT,2019,61-70,5
CONNECTICUT,2019,≥ 71,1
DELAWARE,2015,≤ 20,1
DELAWARE,2015,21-30,0
DELAWARE,2015,31-40,0
DELAWARE,2015,41-50,0
DELAWARE,2015,51-60,1
DELAWARE,2015,61-70,0
DELAWARE,2015,≥ 71,1
DELAWARE,2016,≤ 20,0
DELAWARE,2016,21-30,0
DELAWARE,2016,31-40,1
DELAWARE,2016,41-50,2
DELAWARE,2016,51-60,3
DELAWARE,2016,61-70,5
DELAWARE,2016,≥ 71,3
DELAWARE,2017,≤ 20,0
DELAWARE,2017,21-30,1
DELAWARE,2017,31-40,0
DELAWARE,2017,41-50,3
DELAWARE,2017,51-60,1
DELAWARE,2017,61-70,4
DELAWARE,2017,≥ 71,1
DELAWARE,2018,≤ 20,0
DELAWARE,2018,21-30,1
DELAWARE,2018,31-40,3
DELAWARE,2018,41-50,2
DELAWARE,2018,51-60,4
DELAWARE,2018,61-70,2
DELAWARE,2018,≥ 71,4
DELAWARE,2019,≤ 20,0
DELAWARE,2019,21-30,0
DELAWARE,2019,31-40,2
DELAWARE,2019,41-50,1
DELAWARE,2019,51-60,4
DELAWARE,2019,61-70,3
DELAWARE,2019,≥ 71,3
FLORIDA,2015,≤ 20,0
FLORIDA,2015,21-30,5
FLORIDA,2015,31-40,6
FLORIDA,2015,41-50,15
FLORIDA,2015,51-60,26
FLORIDA,2015,61-70,24
FLORIDA,2015,≥ 71,20
FLORIDA,2016,≤ 20,0
FLORIDA,2016,21-30,19
FLORIDA,2016,31-40,23
FLORIDA,2016,41-50,54
FLORIDA,2016,51-60,97
FLORIDA,2016,61-70,97
FLORIDA,2016,≥ 71,66
FLORIDA,2017,≤ 20,0
FLORIDA,2017,21-30,18
FLORIDA,2017,31-40,38
FLORIDA,2017,41-50,84
FLORIDA,2017,51-60,115
FLORIDA,2017,61-70,102
FLORIDA,2017,≥ 71,71
FLORIDA,2018,≤ 20,1
FLORIDA,2018,21-30,24
FLORIDA,2018,31-40,48
FLORIDA,2018,41-50,57
FLORIDA,2018,51-60,112
FLORIDA,2018,61-70,121
FLORIDA,2018,≥ 71,77
FLORIDA,2019,≤ 20,1
FLORIDA,2019,21-30,15
FLORIDA,2019,31-40,36
FLORIDA,2019,41-50,50
FLORIDA,2019,51-60,88
FLORIDA,2019,61-70,105
FLORIDA,2019,≥ 71,105
GEORGIA,2015,≤ 20,1
GEORGIA,2015,21-30,2
GEORGIA,2015,31-40,3
GEORGIA,2015,41-50,3
GEORGIA,2015,51-60,10
GEORGIA,2015,61-70,9
GEORGIA,2015,≥ 71,3
GEORGIA,2016,≤ 20,1
GEORGIA,2016,21-30,9
GEORGIA,2016,31-40,12
GEORGIA,2016,41-50,17
GEORGIA,2016,51-60,35
GEORGIA,2016,61-70,40
GEORGIA,2016,≥ 71,19
GEORGIA,2017,≤ 20,2
GEORGIA,2017,21-30,10
GEORGIA,2017,31-40,27
GEORGIA,2017,41-50,20
GEORGIA,2017,51-60,44
GEORGIA,2017,61-70,43
GEORGIA,2017,≥ 71,27
GEORGIA,2018,≤ 20,0
GEORGIA,2018,21-30,17
GEORGIA,2018,31-40,11
GEORGIA,2018,41-50,22
GEORGIA,2018,51-60,52
GEORGIA,2018,61-70,40
GEORGIA,2018,≥ 71,21
GEORGIA,2019,≤ 20,0
GEORGIA,2019,21-30,15
GEORGIA,2019,31-40,30
GEORGIA,2019,41-50,22
GEORGIA,2019,51-60,33
GEORGIA,2019,61-70,40
GEORGIA,2019,≥ 71,17
HAWAII,2015,≤ 20,0
HAWAII,2015,21-30,0
HAWAII,2015,31-40,0
HAWAII,2015,41-50,0
HAWAII,2015,51-60,0
HAWAII,2015,61-70,1
HAWAII,2015,≥ 71,0
HAWAII,2016,≤ 20,0
HAWAII,2016,21-30,1
HAWAII,2016,31-40,2
HAWAII,2016,41-50,2
HAWAII,2016,51-60,2
HAWAII,2016,61-70,1
HAWAII,2016,≥ 71,1
HAWAII,2017,≤ 20,0
HAWAII,2017,21-30,1
HAWAII,2017,31-40,1
HAWAII,2017,41-50,1
HAWAII,2017,51-60,0
HAWAII,2017,61-70,0
HAWAII,2017,≥ 71,1
HAWAII,2018,≤ 20,0
HAWAII,2018,21-30,1
HAWAII,2018,31-40,1
HAWAII,2018,41-50,2
HAWAII,2018,51-60,0
