year,state_abbr,state_name,state_fips,region,division,total_pop_15to64,female_pop_15to64,male_pop_15to64,aapi_pop_15to64,aapi_pct,black_pop_15to64,black_pct,latinx_pop_15to64,latinx_pct,native_pop_15to64,native_pct,white_pop_15to64,white_pct,aapi_female_pop_15to64,black_female_pop_15to64,latinx_female_pop_15to64,native_female_pop_15to64,white_female_pop_15to64,aapi_male_pop_15to64,black_male_pop_15to64,latinx_male_pop_15to64,native_male_pop_15to64,white_male_pop_15to64,total_incarceration,total_incarceration_rate,held_in_jail,total_jail_pop,female_jail_pop,male_jail_pop,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,total_prison_pop,female_prison_pop,female_total,male_prison_pop,male_total,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,deaths
2017,WV,West Virginia,54,South,South Atlantic,1169062,576176,592886,12241,1.05,48960,4.19,19628,1.68,2728,0.23,1085505,92.85,6403,21427,8738,1265,538346,5838,27533,10890,1466,547159,10613,907,1170,4691,1036,4147,401,179,699,7092,818,1854,6274,10421,606,141,1058,29
2016,WV,West Virginia,54,South,South Atlantic,1185407,585476,599931,12453,1.05,49224,4.15,19193,1.62,2768,0.23,1101769,92.94,6516,21576,8584,1298,547505,5937,27648,10609,1473,554264,10346,872,1263,4447,834,3341,375,142,556,7162,876,1710,6286,9627,604,149,1047,26
2015,WV,West Virginia,54,South,South Atlantic,1199851,593691,606160,12191,1.02,49421,4.12,18662,1.56,2787,0.23,1116790,93.08,6358,21677,8268,1318,556073,5833,27744,10394,1472,560717,10210,850,1193,4285,784,3339,357,132,550,7118,865,1649,6253,9592,593,145,1031,6
2022,WY,Wyoming,56,West,Mountain,367373,176271,191102,5220,1.42,5629,1.53,39898,10.86,8434,2.3,308192,83.89,2677,2283,18626,4173,148512,2543,3346,21272,4261,159680,3434,934,10,1290,284,1006,351,161,526,2154,247,531,1907,2913,586,140,997,25
2021,WY,Wyoming,56,West,Mountain,367184,176323,190861,5083,1.38,5541,1.51,38980,10.62,8492,2.31,309088,84.18,2631,2242,18148,4181,149121,2452,3299,20832,4311,159967,3442,937,9,1328,266,1076,361,150,564,2123,265,531,1858,2934,578,150,973,14
2020,WY,Wyoming,56,West,Mountain,366944,175982,190962,5085,1.39,5521,1.5,38076,10.38,8470,2.31,309792,84.42,2635,2196,17728,4161,149262,2450,3325,20348,4309,160530,3255,887,6,1174,218,942,319,124,493,2087,261,479,1826,2768,568,148,956,4
2019,WY,Wyoming,56,West,Mountain,367331,176380,190951,5158,1.4,5517,1.5,37300,10.15,8376,2.28,310980,84.66,2682,2192,17387,4143,149976,2476,3325,19913,4233,161004,3855,1049,81,1457,297,1099,396,168,575,2479,337,634,2142,3241,674,191,1121,9
2018,WY,Wyoming,56,West,Mountain,368946,177299,191647,5241,1.42,5530,1.5,36771,9.97,8392,2.27,313012,84.84,2756,2183,17053,4144,151163,2485,3347,19718,4248,161849,4126,1118,87,1670,321,1338,452,181,698,2543,336,657,2207,3545,689,189,1151,6
2017,WY,Wyoming,56,West,Mountain,372382,178873,193509,5012,1.35,5542,1.49,36436,9.78,8354,2.24,317038,85.14,2693,2155,16840,4119,153066,2319,3387,19596,4235,163972,4025,1080,21,1573,312,1253,422,174,647,2473,292,604,2181,3434,664,163,1127,8
2016,WY,Wyoming,56,West,Mountain,378747,181832,196915,4766,1.26,5634,1.49,36569,9.66,8440,2.23,323338,85.37,2592,2191,16905,4177,155967,2174,3443,19664,4263,167371,3958,1045,7,1591,301,1232,420,165,625,2374,286,587,2088,3320,626,157,1060,11
2015,WY,Wyoming,56,West,Mountain,382734,183698,199036,4618,1.21,5734,1.5,36255,9.47,8489,2.22,327638,85.6,2478,2234,16727,4185,158074,2140,3500,19528,4304,169564,3970,1037,13,1559,303,1214,407,164,610,2424,267,570,2157,3371,633,145,1083,2
