year,state_abbr,state_name,state_fips,region,division,total_pop_15to64,female_pop_15to64,male_pop_15to64,aapi_pop_15to64,aapi_pct,black_pop_15to64,black_pct,latinx_pop_15to64,latinx_pct,native_pop_15to64,native_pct,white_pop_15to64,white_pct,aapi_female_pop_15to64,black_female_pop_15to64,latinx_female_pop_15to64,native_female_pop_15to64,white_female_pop_15to64,aapi_male_pop_15to64,black_male_pop_15to64,latinx_male_pop_15to64,native_male_pop_15to64,white_male_pop_15to64,total_incarceration,total_incarceration_rate,held_in_jail,total_jail_pop,female_jail_pop,male_jail_pop,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,total_prison_pop,female_prison_pop,female_total,male_prison_pop,male_total,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,deaths
2022,AK,Alaska,2,West,Pacific,484376,224281,260095,44427,9.17,21821,4.5,37108,7.66,77627,16.03,303393,62.64,22686,8891,16873,37373,138458,21741,12930,20235,40254,164935,4778,986,39,2934,335,2599,605,149,999,1505,75,410,1430,4029,310,33,549,18
2021,AK,Alaska,2,West,Pacific,486916,225591,261325,44109,9.06,21813,4.48,36553,7.51,77714,15.96,306727,62.99,22457,8889,16643,37490,140112,21652,12924,19910,40224,166615,4639,952,40,3076,357,2719,631,158,1040,1563,85,442,1478,4197,320,37,565,23
2020,AK,Alaska,2,West,Pacific,488623,226819,261804,43920,8.99,21707,4.44,35801,7.33,77565,15.87,309630,63.37,22371,8897,16333,37569,141649,21549,12810,19468,39996,167981,4578,936,21,2784,320,2464,569,141,941,1794,99,419,1695,4159,367,43,647,14
2019,AK,Alaska,2,West,Pacific,493016,229285,263731,43819,8.89,21812,4.42,35800,7.26,77429,15.71,314156,63.72,22373,8997,16288,37554,144073,21446,12815,19512,39875,170083,4475,907,38,2693,344,2349,546,150,890,1782,82,426,1700,4049,361,35,644,3
2018,AK,Alaska,2,West,Pacific,497876,231938,265938,43449,8.73,21926,4.4,35475,7.13,77469,15.56,319557,64.18,22250,9046,16241,37644,146757,21199,12880,19234,39825,172800,4380,879,35,2441,292,2149,490,125,808,1939,87,379,1852,4001,389,37,696,11
2017,AK,Alaska,2,West,Pacific,504320,235002,269318,43416,8.61,22016,4.37,35267,6.99,77451,15.36,326170,64.68,22226,9114,16211,37696,149755,21190,12902,19056,39755,176415,4399,872,39,2494,311,2183,494,132,810,1905,77,388,1828,4011,377,32,678,9
2016,AK,Alaska,2,West,Pacific,509054,237107,271947,42008,8.25,21832,4.29,34467,6.77,77506,15.23,333241,65.46,21569,8961,15862,37688,153027,20439,12871,18605,39818,180214,4434,871,40,2305,296,2009,452,124,738,2089,107,403,1982,3991,410,45,728,10
2015,AK,Alaska,2,West,Pacific,509561,237503,272058,40528,7.95,21399,4.2,33551,6.58,77308,15.17,336775,66.09,20825,8764,15399,37636,154879,19703,12635,18152,39672,181896,5338,1047,46,3077,402,2675,603,169,983,2261,175,577,2086,4761,443,73,766,3
2022,AL,Alabama,1,South,East South Central,3245544,1646071,1599473,62367,1.92,903814,27.85,155493,4.79,20852,0.64,2103018,64.8,32671,481508,72271,10588,1049033,29696,422306,83222,10264,1053985,40366,1243,1721,15666,2529,13482,482,153,842,26421,2368,4897,24053,37535,814,143,1503,205
2021,AL,Alabama,1,South,East South Central,3241339,1643899,1597440,60901,1.88,904008,27.89,149069,4.6,20873,0.64,2106488,64.99,31871,481925,68917,10632,1050554,29030,422083,80152,10241,1055934,38574,1190,2101,15643,2306,13472,482,140,843,25032,2117,4423,22915,36387,772,128,1434,172
2020,AL,Alabama,1,South,East South Central,3237450,1640766,1596684,59564,1.84,905561,27.97,143694,4.44,20938,0.65,2107693,65.1,31174,482454,66041,10700,1050397,28390,423107,77653,10238,1057296,35407,1093,3846,13925,2044,11614,430,124,727,25328,2162,4206,23166,34780,782,131,1450,93
2019,AL,Alabama,1,South,East South Central,3233090,1638535,1594555,58738,1.82,905806,28.02,139560,4.32,20967,0.65,2108019,65.2,30738,482319,63775,10679,1051024,28000,423487,75785,10288,1056995,41959,1297,2569,16224,2619,13379,501,159,839,28304,2749,5368,25555,38934,875,167,1602,129
2018,AL,Alabama,1,South,East South Central,3231340,1638987,1592353,57496,1.78,906203,28.04,135891,4.21,20957,0.65,2110793,65.32,30178,483260,61623,10680,1053246,27318,422943,74268,10277,1057547,41209,1275,2061,16429,2592,13245,508,158,831,26841,2402,4994,24439,37684,830,146,1534,125
2017,AL,Alabama,1,South,East South Central,3230476,1638888,1591588,56354,1.74,905795,28.04,131584,4.07,21015,0.65,2115728,65.49,29585,482926,59293,10739,1056345,26769,422869,72291,10276,1059383,40762,1261,2021,15175,2425,12861,469,147,808,27608,2473,4898,25135,37996,854,150,1579,116
2016,AL,Alabama,1,South,East South Central,3230773,1638610,1592163,54751,1.69,903933,27.98,128441,3.98,21010,0.65,2122638,65.7,28742,481511,57501,10726,1060130,26009,422422,70940,10284,1062508,41899,1296,1445,14461,2152,11889,447,131,746,28883,2377,4529,26506,38395,893,145,1664,118
2015,AL,Alabama,1,South,East South Central,3228199,1637943,1590256,52960,1.64,900876,27.91,125300,3.88,20985,0.65,2128078,65.92,27830,480185,55677,10687,1063564,25130,420691,69623,10298,1064514,43551,1349,1788,14529,1997,12020,450,121,755,30810,2590,4587,28220,40240,954,158,1774,20
2022,AR,Arkansas,5,South,West South Central,1930925,961856,969069,49104,2.54,314282,16.28,171618,8.89,17772,0.92,1378149,71.37,24403,163589,80974,8989,683901,24701,150693,90644,8783,694248,24974,1293,2231,9580,1676,7731,496,174,797,17625,1409,3085,16216,23947,912,146,1673,75
2021,AR,Arkansas,5,South,West South Central,1923291,957886,965405,47613,2.48,314944,16.38,164456,8.55,17598,0.91,1378680,71.68,23614,164030,77353,8946,683943,23999,150914,87103,8652,694737,23073,1199,2505,8556,1492,6896,444,155,714,17022,1430,2922,15592,22488,885,149,1615,89
2020,AR,Arkansas,5,South,West South Central,1915627,954072,961555,46291,2.42,315602,16.48,158199,8.26,17324,0.9,1378211,71.95,23037,164464,74228,8800,683543,23254,151138,83971,8524,694668,20174,1053,2256,6336,1105,5591,330,115,581,16094,1313,2418,14781,20372,840,137,1537,117
2019,AR,Arkansas,5,South,West South Central,1914416,954186,960230,44623,2.33,316133,16.51,153019,7.99,17272,0.9,1383369,72.26,22425,164730,71626,8800,686605,22198,151403,81393,8472,696764,25335,1323,1667,9243,1681,7544,482,176,785,17759,1571,3252,16188,23732,927,164,1685,76
2018,AR,Arkansas,5,South,West South Central,1916640,956321,960319,43542,2.27,316634,16.52,148495,7.75,17214,0.9,1390755,72.56,22016,165142,69476,8708,690979,21526,151492,79019,8506,699776,24713,1289,1866,8780,1532,7090,458,160,738,17799,1403,2935,16396,23486,928,146,1707,76
2017,AR,Arkansas,5,South,West South Central,1918770,958152,960618,43064,2.24,316945,16.52,144146,7.51,17033,0.89,1397582,72.84,21819,165204,67189,8642,695298,21245,151741,76957,8391,702284,24835,1294,1837,8602,1471,6960,448,153,724,18070,1419,2890,16651,23611,941,148,1733,81
2016,AR,Arkansas,5,South,West South Central,1918010,958743,959267,41600,2.17,316888,16.52,139478,7.27,16892,0.88,1403152,73.16,21133,165334,64820,8578,698878,20467,151554,74658,8314,704274,24468,1275,1369,8300,1369,6575,432,142,685,17537,1376,2745,16161,22736,914,143,1684,71
2015,AR,Arkansas,5,South,West South Central,1916182,959193,956989,39636,2.07,315490,16.46,135459,7.07,16635,0.87,1408962,73.53,20393,165016,62705,8448,702631,19243,150474,72754,8187,706331,24233,1264,1923,8449,1419,6834,440,148,714,17707,1402,2821,16305,23139,924,146,1703,14
2022,AZ,Arizona,4,West,Mountain,4680297,2299643,2380654,218516,4.67,269793,5.76,1615564,34.52,193316,4.13,2383108,50.92,111905,127005,791914,98535,1170284,106611,142788,823650,94781,1212824,46233,987,0,12368,1998,10528,264,86,442,33865,3117,5115,30748,41276,723,135,1291,37
2021,AZ,Arizona,4,West,Mountain,4616252,2267319,2348933,209847,4.55,260139,5.64,1573816,34.09,192308,4.17,2380142,51.56,107343,122297,770837,97772,1169070,102504,137842,802979,94536,1211072,44763,969,0,10849,1549,9361,235,68,398,33914,3120,4669,30794,40155,734,137,1310,37
2020,AZ,Arizona,4,West,Mountain,4562665,2240632,2322033,204703,4.49,252384,5.53,1535626,33.66,191916,4.21,2378036,52.12,104830,118323,751504,97460,1168515,99873,134061,784122,94456,1209521,47337,1037,0,9543,1149,7439,209,51,320,37794,3658,4807,34136,41575,828,163,1470,36
2019,AZ,Arizona,4,West,Mountain,4500120,2212159,2287961,199720,4.44,243648,5.41,1497747,33.28,190941,4.24,2368064,52.62,102511,114162,733243,96951,1165292,97209,129486,764504,93990,1202772,55643,1236,0,13202,2176,11204,293,98,489,42441,4406,6582,38035,49239,943,199,1662,114
2018,AZ,Arizona,4,West,Mountain,4444103,2187807,2256296,193697,4.36,235134,5.29,1460805,32.87,189898,4.27,2364569,53.21,99576,110144,715972,96520,1165595,94121,124990,744833,93378,1198974,55112,1240,0,13107,2092,10686,294,95,473,42005,4185,6277,37820,48506,945,191,1676,131
2017,AZ,Arizona,4,West,Mountain,4395093,2167533,2227560,190018,4.32,227295,5.17,1426518,32.46,188714,4.29,2362548,53.75,97777,106244,699986,95913,1167613,92241,121051,726532,92801,1194935,55206,1256,0,13176,2034,11202,299,93,502,42030,4059,6093,37971,49173,956,187,1704,133
2016,AZ,Arizona,4,West,Mountain,4356330,2151745,2204585,184995,4.25,220375,5.06,1393582,31.99,187606,4.31,2369772,54.4,95537,102868,684296,95485,1173559,89458,117507,709286,92121,1196213,55474,1273,0,13154,2038,10709,301,94,485,42320,3997,6035,38323,49032,971,185,1738,126
2015,AZ,Arizona,4,West,Mountain,4308901,2131532,2177369,177171,4.11,212331,4.93,1360137,31.57,186359,4.32,2372903,55.07,91862,98752,668475,94958,1177485,85309,113579,691662,91401,1195418,56044,1300,439,13764,1841,10819,319,86,496,42719,3981,5822,38738,49557,991,186,1779,26
2022,CA,California,6,West,Pacific,25911538,12702297,13209241,4419557,17.06,1655938,6.39,10788074,41.63,132669,0.51,8915300,34.41,2276294,802332,5266018,66355,4291298,2143263,853606,5522056,66314,4624002,157497,607,0,59889,6599,54242,231,51,410,97608,3732,10331,93876,148118,376,29,710,393
2021,CA,California,6,West,Pacific,26020680,12749711,13270969,4364850,16.77,1667258,6.41,10713958,41.17,134648,0.52,9139966,35.13,2250606,808820,5225340,67384,4397561,2114244,858438,5488618,67264,4742405,162592,624,0,61151,6005,55425,235,47,417,101441,3916,9921,97525,152950,389,30,734,736
2020,CA,California,6,West,Pacific,26347029,12908653,13438376,4390630,16.66,1692143,6.42,10659623,40.46,137503,0.52,9467130,35.93,2265645,821326,5195592,68845,4557245,2124985,870817,5464031,68658,4909885,154477,586,375,54456,5604,47127,206,43,350,100396,3767,9371,96629,143756,381,29,719,840
2019,CA,California,6,West,Pacific,26447533,12971218,13476315,4372029,16.53,1699125,6.42,10573389,39.98,139435,0.53,9663555,36.54,2261202,825808,5155772,69851,4658585,2110827,873317,5417617,69584,5004970,196000,741,1599,74912,9697,64481,283,74,478,122687,5568,15265,117119,181600,463,42,869,398
2018,CA,California,6,West,Pacific,26512430,13024444,13487986,4336459,16.36,1700440,6.41,10491512,39.57,141328,0.53,9842691,37.12,2248295,829639,5121239,70899,4754372,2088164,870801,5370273,70429,5088319,201982,761,1667,75024,10043,65664,282,77,486,128625,5778,15821,122847,188511,485,44,910,449
2017,CA,California,6,West,Pacific,26501551,13042436,13459115,4284264,16.17,1697646,6.41,10389459,39.2,142811,0.54,9987371,37.69,2226315,831773,5076887,71742,4835719,2057949,865873,5312572,71069,5151652,205118,773,1762,75841,10260,66378,286,78,493,131039,5859,16119,125180,191558,494,44,930,384
2016,CA,California,6,West,Pacific,26434882,13033688,13401194,4212457,15.94,1692241,6.4,10270391,38.85,143746,0.54,10116047,38.27,2194045,832666,5024745,72337,4909895,2018412,859575,5245646,71409,5206152,204163,772,1651,75730,9910,64293,286,76,479,130084,5886,15796,124198,188491,492,45,926,334
2015,CA,California,6,West,Pacific,26315841,12996069,13319772,4127734,15.69,1687650,6.41,10133768,38.51,144707,0.55,10221982,38.84,2154928,832650,4962864,72941,4972686,1972806,855000,5170904,71766,5249296,203983,775,0,74390,9570,62748,282,73,471,129593,5785,15355,123808,186556,492,44,929,79
2022,CO,Colorado,8,West,Mountain,3931755,1897324,2034431,170437,4.33,195214,4.97,889299,22.62,31482,0.8,2645323,67.28,89512,86689,428020,15556,1277548,80928,108525,461279,15927,1367775,27756,705,281,10869,1864,9214,276,98,452,17168,1402,3266,15766,24980,436,73,774,95
2021,CO,Colorado,8,West,Mountain,3915176,1890486,2024690,165471,4.23,191524,4.89,871824,22.27,31156,0.8,2655201,67.82,87041,85223,419689,15464,1283070,85324,106301,452135,15693,1372131,25642,654,125,9902,1475,7983,252,78,394,15865,1266,2741,14599,22582,405,66,721,82
2020,CO,Colorado,8,West,Mountain,3903922,1885895,2018027,162145,4.15,188771,4.84,855554,21.92,31164,0.8,2666288,68.3,85399,84160,411650,15481,1289206,83640,104611,443904,15684,1377082,22781,583,1091,7613,1026,6551,195,54,324,16259,1311,2337,14948,21499,416,69,740,45
2019,CO,Colorado,8,West,Mountain,3877220,1875093,2002127,158692,4.09,185809,4.79,838629,21.63,31104,0.8,2662986,68.68,83790,82850,403653,15435,1289366,81796,102960,434976,15670,1373620,32936,849,238,13389,2249,11034,345,119,551,19785,1919,4168,17866,28900,510,102,892,49
2018,CO,Colorado,8,West,Mountain,3841477,1862704,1978773,155081,4.04,182457,4.75,820289,21.35,30944,0.81,2652706,69.05,82038,81631,395249,15367,1288420,79937,100827,425040,15578,1364286,33289,866,259,13176,2407,10959,343,129,553,20372,2025,4432,18347,29306,530,108,927,55
2017,CO,Colorado,8,West,Mountain,3794758,1843426,1951332,149232,3.93,177886,4.69,798094,21.03,30559,0.81,2638987,69.54,79297,79736,384782,15205,1284407,76829,98151,413312,15355,1354580,33022,870,164,13240,2202,11050,348,119,566,19946,1902,4104,18044,29094,525,103,924,41
2016,CO,Colorado,8,West,Mountain,3752681,1827395,1925286,144022,3.84,174599,4.65,777895,20.73,30254,0.81,2625911,69.97,76809,78476,375754,15137,1281220,74107,96124,402141,15118,1344691,32562,867,376,12957,2046,10585,345,111,549,19981,1903,3949,18078,28663,532,104,938,57
2015,CO,Colorado,8,West,Mountain,3696203,1804309,1891894,137858,3.73,169945,4.6,757578,20.5,29759,0.81,2601063,70.37,73786,76694,366545,14816,1272469,70966,93252,391033,14944,1328594,32128,869,82,12169,1910,9883,329,105,522,20041,1842,3752,18199,28082,542,102,961,19
2022,CT,Connecticut,9,Northeast,New England,2371482,1192265,1179217,136114,5.74,277800,11.71,446181,18.81,5250,0.22,1506137,63.51,70226,143379,223651,2514,752495,65888,134421,222530,2736,753642,10506,443,0,4325,457,3868,182,38,328,6181,330,787,5851,9719,260,27,496,41
2021,CT,Connecticut,9,Northeast,New England,2383747,1198393,1185354,134496,5.64,273556,11.48,434183,18.21,5199,0.22,1536313,64.45,69253,141596,217564,2498,767482,65243,131960,216619,2701,768831,9889,414,0,4282,369,3913,179,30,330,5607,266,635,5341,9254,235,22,450,32
2020,CT,Connecticut,9,Northeast,New England,2368669,1189885,1178784,131337,5.54,269123,11.36,422306,17.83,5161,0.22,1540742,65.05,67530,139429,211167,2479,769280,63807,129694,211139,2682,771462,9559,403,0,3200,242,2958,135,20,250,6359,297,539,6062,9020,268,24,514,29
2019,CT,Connecticut,9,Northeast,New England,2383868,1197713,1186155,130527,5.48,267644,11.23,414414,17.38,5189,0.22,1566094,65.7,67187,138483,207103,2486,782454,63340,129161,207311,2703,783640,12823,537,0,4072,422,3650,170,35,307,8751,519,941,8232,11882,367,43,694,19
2018,CT,Connecticut,9,Northeast,New England,2396616,1204820,1191796,128580,5.37,264904,11.05,406685,16.97,5293,0.22,1591154,66.39,66249,137154,203175,2538,795704,62331,127750,203510,2755,795450,13681,570,0,4673,520,4153,194,43,348,9008,482,1002,8526,12679,375,40,715,28
2017,CT,Connecticut,9,Northeast,New England,2402786,1208286,1194500,126091,5.25,262908,10.94,394529,16.42,5380,0.22,1613878,67.17,65130,135993,196891,2612,807660,60961,126915,197638,2768,806218,14040,584,0,4414,487,3927,183,40,328,9626,484,971,9142,13069,400,40,765,14
2016,CT,Connecticut,9,Northeast,New England,2410144,1212665,1197479,124012,5.15,260878,10.82,384398,15.95,5527,0.23,1635329,67.85,64057,135023,191550,2706,819329,59955,125855,192848,2821,816000,14957,620,0,4592,504,4088,190,41,341,10365,561,1065,9804,13892,430,46,818,17
2015,CT,Connecticut,9,Northeast,New England,2418238,1217549,1200689,121744,5.03,259216,10.72,375525,15.53,5643,0.23,1656110,68.48,62906,134255,186972,2781,830635,58838,124961,188553,2862,825475,15816,654,0,4596,544,4052,190,44,337,11220,577,1121,10643,14695,463,47,886,4
2022,DC,District of Columbia,11,South,South Atlantic,476574,247842,228732,27258,5.72,195683,41.06,54264,11.39,1294,0.27,198075,41.56,15845,105871,26423,661,99042,11413,89812,27841,633,99033,3852,808,0,1380,66,1317,289,26,575,2472,0,0,0,0,518,0,0,16
2021,DC,District of Columbia,11,South,South Atlantic,474774,245851,228923,26422,5.57,198081,41.72,52732,11.11,1249,0.26,196290,41.34,15254,107058,25388,634,97517,11168,91023,27344,615,98773,4031,849,0,1483,63,1448,312,25,632,2548,0,0,0,0,536,0,0,7
2020,DC,District of Columbia,11,South,South Atlantic,476356,245273,231083,25872,5.43,200486,42.09,53532,11.24,1238,0.26,195228,40.98,14993,107831,25547,626,96276,10879,92655,27985,612,98952,4633,972,0,1269,41,1223,266,16,529,3364,0,0,0,0,706,0,0,20
2022,DE,Delaware,10,South,South Atlantic,635477,323848,311629,31841,5.01,158275,24.91,68081,10.71,2206,0.35,375074,59.02,16039,83424,33067,1142,190176,15802,74851,35014,1064,184898,4954,779,0,2166,230,1936,340,71,621,2788,83,313,2705,4641,438,25,868,17
2021,DE,Delaware,10,South,South Atlantic,632129,321525,310604,30937,4.89,155363,24.58,65556,10.37,2234,0.35,378039,59.8,15480,81736,31676,1157,191476,15457,73627,33880,1077,186563,4810,760,0,2018,166,1852,319,51,596,2792,76,242,2716,4568,441,23,874,20
2020,DE,Delaware,10,South,South Atlantic,626888,318690,308198,30503,4.87,152846,24.38,63342,10.1,2200,0.35,377997,60.3,15297,80426,30481,1138,191348,15206,72420,32861,1062,186649,4710,751,0,1592,130,1462,253,40,474,3118,94,224,3024,4486,497,29,981,17
2019,DE,Delaware,10,South,South Atlantic,624163,317118,307045,30175,4.83,150715,24.15,61095,9.79,2232,0.36,379946,60.87,15056,79340,29338,1155,192229,15119,71375,31757,1077,187717,5692,911,0,1957,212,1745,313,66,568,3735,167,379,3568,5313,598,52,1162,13
2018,DE,Delaware,10,South,South Atlantic,621543,315961,305582,29130,4.69,148554,23.9,59301,9.54,2257,0.36,382301,61.51,14560,78233,28406,1155,193607,14570,70321,30895,1102,188694,6067,976,0,2082,232,1850,334,73,605,3985,189,421,3796,5646,641,59,1242,16
2017,DE,Delaware,10,South,South Atlantic,619484,315249,304235,28385,4.58,146447,23.64,57380,9.26,2242,0.36,385030,62.15,14341,77222,27390,1144,195152,14044,69225,29990,1098,189878,6443,1040,0,2377,328,2049,383,104,673,4066,184,512,3882,5931,656,58,1275,10
2016,DE,Delaware,10,South,South Atlantic,617936,314952,302984,27963,4.53,144555,23.39,55347,8.96,2257,0.37,387814,62.76,14182,76438,26500,1148,196684,13781,68117,28847,1109,191130,6585,1065,0,2495,337,2158,403,107,712,4090,201,538,3889,6047,661,63,1283,14
2015,DE,Delaware,10,South,South Atlantic,616293,314420,301873,27347,4.44,142483,23.12,54058,8.77,2277,0.37,390128,63.3,13850,75391,25822,1156,198201,13497,67092,28236,1121,191927,6654,1079,0,2466,312,2154,400,99,713,4188,225,537,3963,6117,679,71,1312,3
2022,FL,Florida,12,South,South Atlantic,13925999,6946847,6979152,509736,3.66,2360372,16.95,4123960,29.61,41604,0.3,6890327,49.48,270468,1209454,2023758,20679,3422488,239268,1150918,2100202,20925,3467839,139428,1001,830,55580,7647,46230,399,110,662,84678,5524,13171,79154,125384,608,79,1134,579
2021,FL,Florida,12,South,South Atlantic,13693459,6833563,6859896,490741,3.58,2332048,17.03,3996529,29.19,41052,0.3,6833089,49.9,260544,1196531,1962295,20479,3393714,230197,1135517,2034234,20573,3439375,133965,978,889,54437,7536,45690,397,110,666,80417,5013,12549,75404,121094,587,73,1099,550
2020,FL,Florida,12,South,South Atlantic,13574604,6775840,6798764,480067,3.54,2315168,17.06,3924327,28.91,40814,0.3,6814228,50.2,255365,1188202,1928112,20373,3383788,224702,1126966,1996215,20441,3430440,126583,932,805,46361,5977,40219,341,88,591,81027,5015,10992,76012,116231,596,74,1118,541
2019,FL,Florida,12,South,South Atlantic,13480937,6735061,6745876,473036,3.51,2297963,17.05,3849791,28.56,40781,0.3,6819366,50.59,252035,1180186,1895018,20336,3387486,221001,1117777,1954773,20445,3431880,151510,1123,1109,56610,8832,46882,419,131,694,96009,6628,15460,89381,136263,712,98,1324,400
2018,FL,Florida,12,South,South Atlantic,13402272,6705418,6696854,464432,3.47,2278907,17.0,3768515,28.12,40958,0.31,6849460,51.11,248080,1172325,1858341,20474,3406198,216352,1106582,1910174,20484,3443262,152929,1141,1123,56514,8872,46768,421,132,698,97538,6726,15598,90812,137580,727,100,1356,440
2017,FL,Florida,12,South,South Atlantic,13291633,6660174,6631459,455394,3.43,2256984,16.98,3657593,27.52,41111,0.31,6880551,51.77,243872,1162766,1806843,20574,3426119,211522,1094218,1850750,20537,3454432,152075,1144,1119,54690,8643,45914,411,129,692,98504,6725,15368,91779,137693,741,100,1383,428
2016,FL,Florida,12,South,South Atlantic,13123991,6584226,6539765,441758,3.37,2225838,16.96,3527417,26.88,40945,0.31,6888033,52.48,236813,1147876,1745583,20368,3433586,204945,1077962,1781834,20577,3454447,152348,1160,1161,53535,7788,43284,407,118,661,99974,6863,14651,93111,136395,761,104,1423,356
2015,FL,Florida,12,South,South Atlantic,12917746,6488423,6429323,425754,3.3,2189691,16.95,3391926,26.26,40708,0.32,6869667,53.18,228781,1130902,1681862,20267,3426611,196973,1058789,1710064,20441,3443056,154941,1199,1073,54590,8187,44346,422,126,689,101424,6943,15130,94481,138827,785,107,1469,96
2022,GA,Georgia,13,South,South Atlantic,7219544,3654198,3565346,383633,5.31,2442801,33.84,767470,10.63,19028,0.26,3606612,49.96,196543,1297197,361920,9895,1788644,187090,1145604,405550,9136,1817968,85444,1183,4726,41731,5483,36859,578,150,1033,48439,3318,8801,45121,81980,670,90,1265,435
2021,GA,Georgia,13,South,South Atlantic,7144149,3617392,3526757,367167,5.14,2401068,33.61,738367,10.34,19080,0.27,3618467,50.65,188526,1276074,347100,9954,1795739,178641,1124994,391267,9129,1822728,81081,1134,4725,38796,4766,34204,543,131,969,47010,3068,7834,43942,78146,658,84,1245,445
2020,GA,Georgia,13,South,South Atlantic,7116600,3598219,3518381,358328,5.04,2385298,33.52,716138,10.06,18983,0.27,3637853,51.12,184056,1265567,334960,9853,1803784,174272,1119731,381178,9133,1834069,75137,1055,3999,31995,3969,29315,449,110,833,47141,3100,7069,44041,73356,662,86,1251,448
2019,GA,Georgia,13,South,South Atlantic,7073783,3577768,3496015,350108,4.95,2359453,33.35,694389,9.82,18899,0.27,3650934,51.61,179938,1252619,324047,9816,1811349,170170,1106834,370342,9085,1839585,91357,1291,5817,42359,6420,37029,598,179,1059,54816,4018,10438,50798,87827,774,112,1453,157
2018,GA,Georgia,13,South,South Atlantic,7014199,3550594,3463605,338463,4.83,2326767,33.17,672605,9.59,18810,0.27,3657554,52.14,174189,1236304,313097,9718,1817287,164274,1090463,359508,9094,1840267,87801,1251,6568,40723,6397,36423,580,180,1051,53647,3939,10336,49708,86131,764,110,1435,163
2017,GA,Georgia,13,South,South Atlantic,6961084,3526248,3434836,328475,4.72,2295266,32.97,650611,9.35,18700,0.27,3668032,52.69,169191,1220862,301960,9651,1824585,159284,1074404,348651,9051,1843447,85864,1233,9014,41211,6248,38782,592,177,1129,53667,3828,10076,49839,88621,770,108,1450,173
2016,GA,Georgia,13,South,South Atlantic,6901050,3498570,3402480,316452,4.59,2260028,32.75,629554,9.12,18716,0.27,3676300,53.27,163438,1203317,291157,9645,1831014,153014,1056711,338397,9073,1845286,84037,1217,8672,39083,5622,36997,566,160,1087,53627,3788,9410,49839,86836,777,108,1464,133
2015,GA,Georgia,13,South,South Atlantic,6828589,3463902,3364687,300626,4.4,2222206,32.54,607356,8.89,18582,0.27,3679819,53.89,155010,1184196,280131,9547,1835019,145616,1038010,327225,9037,1844800,81512,1193,9491,38811,5393,36673,568,155,1089,52193,3615,9008,48578,85251,764,104,1443,31
2022,HI,Hawaii,15,West,Pacific,895874,434357,461517,604176,67.44,27860,3.11,92474,10.32,4027,0.45,168818,18.84,303645,10370,44112,1773,75101,300531,17490,48362,2254,93717,4149,463,0,1582,223,1359,176,51,294,2503,212,435,2291,3650,279,48,496,17
2021,HI,Hawaii,15,West,Pacific,905999,438211,467788,609452,67.27,27872,3.08,91945,10.15,4085,0.45,174126,19.22,305690,10293,43851,1809,77215,303762,17579,48097,2276,96911,4102,452,0,1503,198,1305,165,45,278,2599,235,433,2364,3669,286,53,505,30
2020,HI,Hawaii,15,West,Pacific,913860,441228,472632,612557,67.03,28474,3.12,91471,10.01,4090,0.45,178749,19.56,306880,10559,43494,1828,79114,305677,17915,47980,2262,99635,4171,456,0,1431,177,1254,156,40,265,2740,250,427,2490,3744,299,56,526,17
2019,HI,Hawaii,15,West,Pacific,924083,446643,477440,617971,66.87,28339,3.07,91057,9.85,4041,0.44,184156,19.93,310077,19226,43204,1804,81596,307894,17730,47856,2237,102560,5279,571,0,2242,471,1771,242,105,370,3037,285,756,2752,4523,328,63,576,9
2018,HI,Hawaii,15,West,Pacific,931759,451011,480748,621034,66.65,28191,3.03,90279,9.69,4132,0.44,189604,20.35,312247,19165,42997,1810,84056,308787,17643,47285,2322,105548,5375,576,0,2111,358,1753,226,79,364,3264,301,659,2963,4716,350,66,616,6
2017,HI,Hawaii,15,West,Pacific,937138,453831,483307,622737,66.45,27900,2.98,89206,9.52,4126,0.44,194650,20.77,313415,19017,42585,1803,86275,309322,17500,46624,2323,108375,5630,600,0,2205,353,1852,235,77,383,3425,271,624,3154,5006,365,59,652,4
2016,HI,Hawaii,15,West,Pacific,943498,456368,487130,624669,66.21,27683,2.93,88459,9.38,4183,0.44,199985,21.2,314227,18861,42220,1820,88504,310442,17439,46242,2363,111481,5602,593,0,1973,310,1663,209,67,341,3629,358,668,3271,4934,384,78,671,9
2015,HI,Hawaii,15,West,Pacific,941542,455989,485553,621365,65.99,26843,2.85,86439,9.18,4259,0.45,204117,21.68,313051,18493,41381,1867,90461,308314,16967,45061,2392,113656,5879,624,0,2110,347,1763,224,76,363,3769,355,702,3414,5177,400,77,703,1
2022,IA,Iowa,19,Midwest,West North Central,2020215,984230,1035985,71631,3.55,102167,5.06,144814,7.17,7624,0.38,1693979,83.85,34958,45838,67848,3852,831734,36673,56329,76966,3772,862245,13307,658,72,4906,760,3962,242,77,382,8473,718,1478,7755,11717,419,72,748,54
2021,IA,Iowa,19,Midwest,West North Central,2025079,986777,1038302,70156,3.46,99202,4.9,139083,6.87,7601,0.38,1709037,84.39,34238,44489,65059,3830,839161,35918,54713,74024,3771,869876,12932,638,69,4439,577,3875,219,58,373,8562,703,1280,7859,11734,422,71,756,68
